episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
88,19,-0.11061218678515496,-5.3737700815219966,0.13120281965930491,0.0,0.0,0.0
89,72,-0.14025532966059018,1.2486335592282987,-1.2302294375608895,1.0,0.0,1.0
90,11,-9.2677247978777171,-0.17681570696862522,0.20657473383719632,0.0,0.0,0.0
91,10,-0.28968477745307319,-0.28968477745307319,-10.407424021296903,0.0,0.0,0.0
92,10,-0.085418965784106154,9.9145810342158942,-9.9017746279379608,0.0,1.0,1.0
93,26,-0.30871281685121016,-0.30871281685121016,-3.7983714715529429,0.0,0.0,0.0
94,5,-20.187178215622474,-0.18717821562247394,8.2103059927840913,0.0,0.0,0.0
95,22,-0.14026225566949274,-0.14026225566949274,-4.8603666131611698,0.0,0.0,0.0
96,15,-6.964557960714501,-0.2978912940478341,0.21192768793711647,0.0,0.0,0.0
97,75,2.504579165725596,1.1712458323922628,-2.5288644158121025,0.0,2.0,2.0
98,46,-0.28643710920190785,-0.28643710920190785,-2.0185923288360037,0.0,0.0,0.0
99,16,-0.21259237947919946,-6.4625923794792,0.22889051142573857,0.0,0.0,0.0
100,32,-0.16118087131561465,2.9638191286843854,-2.927767312610801,0.0,1.0,1.0
101,30,-3.4380050874374439,-0.10467175410411068,0.11185467998049874,0.0,0.0,0.0
102,34,-0.17263762602241417,-0.17263762602241417,-2.8568169204360778,0.0,0.0,0.0
103,15,-0.24799811769559074,-6.914664784362258,2.9353576520244391,0.0,0.0,0.0
104,9,-0.2852187590957283,-0.2852187590957283,-11.431906601869503,0.0,0.0,0.0
105,26,-3.9288659029045894,-0.082712056750742974,0.12326715317461479,0.0,0.0,0.0
106,48,6.1419915168792238,6.1419915168792238,-7.4533463550199732,0.0,3.0,3.0
107,11,-0.21371616547360608,-9.3046252563826961,0.2288445608740366,0.0,0.0,0.0
108,22,-4.8339860285624923,-0.2885314831079468,0.22718713328529982,0.0,0.0,0.0
109,55,7.053978520068708,7.053978520068708,-8.9522561922934667,0.0,4.0,4.0
110,4,-0.40421361107978104,-0.40421361107978104,-26.320065563116703,0.0,0.0,0.0
111,6,-0.18010418210699877,-0.18010418210699877,-16.937729989883515,0.0,0.0,0.0
112,12,-0.18682698488913174,-0.18682698488913174,-8.3505064698879696,0.0,0.0,0.0
113,36,27.640421113547362,27.640421113547362,-30.517386887204307,10.0,0.0,10.0
114,43,-0.20883813826609682,-2.5344195336149338,0.2259383372251384,0.0,0.0,0.0
115,22,-0.20163054249747236,-0.20163054249747236,-4.4866650939027437,0.0,0.0,0.0
116,5,-0.26561910139691741,-0.26561910139691741,-20.743334797008394,0.0,0.0,0.0
117,18,-0.10851909957410112,-5.6640746551296566,0.11927683956433907,0.0,0.0,0.0
118,37,-0.16279815286043006,-0.16279815286043006,-2.7092446539704325,0.0,0.0,0.0
119,2,-0.22435731802813569,-50.22435731802814,0.24200356275396834,0.0,0.0,0.0
120,22,-0.20301897920698958,-4.7484735246615353,0.2269155909152609,0.0,0.0,0.0
121,22,-0.11476346144752463,-4.6602180069020696,0.0058016699299141081,0.0,0.0,0.0
122,32,-3.3438008380780175,-0.21880083807801753,0.2480926852636407,0.0,0.0,0.0
123,16,-0.24458246063565156,-0.24458246063565156,-6.4898150600635383,0.0,0.0,0.0
124,15,-0.26012790104702971,-0.26012790104702971,-7.0059642631049268,0.0,0.0,0.0
125,31,6.3094857076150266,6.3094857076150266,-9.6934248444642179,2.0,0.0,2.0
126,4,-0.30094811016442369,-0.30094811016442369,-25.840743101273421,0.0,0.0,0.0
127,33,-3.2351117270439533,-0.20480869674092328,1.2909679756999399,0.0,0.0,0.0
128,66,-0.13990375242705658,-1.6550552675785717,0.76797190029454521,0.0,0.0,0.0
129,2,-50.192681028820999,-0.19268102882100066,0.23520473674953812,0.0,0.0,0.0
130,5,-0.17160818404626932,-0.17160818404626932,-21.173675186133899,0.0,0.0,0.0
